step=0	epoch=0	loss=0.6922	train_acc=0.5000	val_acc=0.4932
step=1	epoch=0	loss=0.6675	train_acc=0.6250	val_acc=0.7021
step=2	epoch=0	loss=0.6737	train_acc=0.6562	val_acc=0.7993
step=3	epoch=0	loss=0.6586	train_acc=0.7500	val_acc=0.8520
step=4	epoch=0	loss=0.6337	train_acc=0.7500	val_acc=0.8610
step=5	epoch=0	loss=0.5958	train_acc=0.9062	val_acc=0.8429
step=6	epoch=0	loss=0.5784	train_acc=0.8125	val_acc=0.8892
step=7	epoch=0	loss=0.5101	train_acc=0.9375	val_acc=0.8692
step=8	epoch=0	loss=0.4507	train_acc=0.9688	val_acc=0.8601
step=9	epoch=0	loss=0.5003	train_acc=0.7812	val_acc=0.8937
step=10	epoch=0	loss=0.4141	train_acc=0.8125	val_acc=0.9146
step=11	epoch=0	loss=0.3718	train_acc=0.8750	val_acc=0.8983
step=12	epoch=0	loss=0.2874	train_acc=0.9375	val_acc=0.9010
step=13	epoch=0	loss=0.2060	train_acc=1.0000	val_acc=0.9074
step=14	epoch=0	loss=0.2173	train_acc=0.9688	val_acc=0.9228
step=15	epoch=0	loss=0.1608	train_acc=0.9688	val_acc=0.9246
step=16	epoch=0	loss=0.2304	train_acc=0.9375	val_acc=0.9246
step=17	epoch=0	loss=0.1029	train_acc=1.0000	val_acc=0.9183
step=18	epoch=0	loss=0.3315	train_acc=0.9062	val_acc=0.9228
step=19	epoch=0	loss=0.2169	train_acc=0.9375	val_acc=0.9301
step=20	epoch=0	loss=0.1928	train_acc=0.9375	val_acc=0.9301
step=21	epoch=0	loss=0.1860	train_acc=0.9688	val_acc=0.9319
step=22	epoch=0	loss=0.2085	train_acc=0.9062	val_acc=0.9264
step=23	epoch=0	loss=0.1828	train_acc=0.9375	val_acc=0.9074
step=24	epoch=0	loss=0.4619	train_acc=0.8125	val_acc=0.9092
step=25	epoch=0	loss=0.3119	train_acc=0.9062	val_acc=0.9255
step=26	epoch=0	loss=0.0435	train_acc=1.0000	val_acc=0.9328
step=27	epoch=0	loss=0.1613	train_acc=0.9375	val_acc=0.9328
step=28	epoch=0	loss=0.2147	train_acc=0.8750	val_acc=0.9328
step=29	epoch=0	loss=0.0875	train_acc=1.0000	val_acc=0.9364
step=30	epoch=0	loss=0.1615	train_acc=0.9375	val_acc=0.9355
step=31	epoch=0	loss=0.0528	train_acc=1.0000	val_acc=0.9364
step=32	epoch=0	loss=0.0528	train_acc=1.0000	val_acc=0.9364
step=33	epoch=0	loss=0.0699	train_acc=1.0000	val_acc=0.9337
step=34	epoch=0	loss=0.0664	train_acc=1.0000	val_acc=0.9346
step=35	epoch=0	loss=0.0685	train_acc=1.0000	val_acc=0.9355
step=36	epoch=0	loss=0.2490	train_acc=0.9062	val_acc=0.9346
step=37	epoch=0	loss=0.1777	train_acc=0.9375	val_acc=0.9355
step=38	epoch=0	loss=0.0890	train_acc=0.9375	val_acc=0.9355
step=39	epoch=0	loss=0.1231	train_acc=0.9688	val_acc=0.9355
step=40	epoch=0	loss=0.4924	train_acc=0.7812	val_acc=0.9355
step=41	epoch=0	loss=0.0378	train_acc=1.0000	val_acc=0.9373
step=42	epoch=0	loss=0.1771	train_acc=0.9375	val_acc=0.9401
step=43	epoch=0	loss=0.1379	train_acc=0.9062	val_acc=0.9373
step=44	epoch=0	loss=0.1623	train_acc=0.9375	val_acc=0.9382
step=45	epoch=0	loss=0.0499	train_acc=1.0000	val_acc=0.9373
step=46	epoch=0	loss=0.1259	train_acc=0.9688	val_acc=0.9373
step=47	epoch=0	loss=0.1977	train_acc=0.9062	val_acc=0.9373
step=48	epoch=0	loss=0.1687	train_acc=0.9688	val_acc=0.9382
step=49	epoch=0	loss=0.0621	train_acc=1.0000	val_acc=0.9364
step=50	epoch=0	loss=0.1252	train_acc=0.9688	val_acc=0.9391
step=51	epoch=0	loss=0.2193	train_acc=0.9375	val_acc=0.9401
step=52	epoch=0	loss=0.2423	train_acc=0.9062	val_acc=0.9401
step=53	epoch=0	loss=0.2042	train_acc=0.9375	val_acc=0.9391
step=54	epoch=0	loss=0.1123	train_acc=0.9688	val_acc=0.9419
step=55	epoch=0	loss=0.0362	train_acc=1.0000	val_acc=0.9419
step=56	epoch=0	loss=0.0649	train_acc=1.0000	val_acc=0.9373
step=57	epoch=0	loss=0.3441	train_acc=0.9062	val_acc=0.9401
step=58	epoch=0	loss=0.1937	train_acc=0.8750	val_acc=0.9410
step=59	epoch=0	loss=0.1388	train_acc=0.9062	val_acc=0.9373
step=60	epoch=0	loss=0.0871	train_acc=0.9688	val_acc=0.9364
step=61	epoch=0	loss=0.1263	train_acc=0.9062	val_acc=0.9364
step=62	epoch=0	loss=0.0288	train_acc=1.0000	val_acc=0.9346
step=63	epoch=0	loss=0.1898	train_acc=0.9375	val_acc=0.9364
step=64	epoch=0	loss=0.1614	train_acc=0.9688	val_acc=0.9355
step=65	epoch=0	loss=0.2071	train_acc=0.9062	val_acc=0.9382
step=66	epoch=0	loss=0.0778	train_acc=0.9688	val_acc=0.9355
step=67	epoch=0	loss=0.0708	train_acc=1.0000	val_acc=0.9337
step=68	epoch=0	loss=0.0991	train_acc=0.9375	val_acc=0.9337
step=69	epoch=0	loss=0.2206	train_acc=0.8438	val_acc=0.9410
step=70	epoch=0	loss=0.1720	train_acc=0.9062	val_acc=0.9437
step=71	epoch=0	loss=0.0746	train_acc=0.9688	val_acc=0.9437
step=72	epoch=0	loss=0.0383	train_acc=1.0000	val_acc=0.9373
step=73	epoch=0	loss=0.2365	train_acc=0.9062	val_acc=0.9346
step=74	epoch=0	loss=0.1303	train_acc=0.9375	val_acc=0.9355
step=75	epoch=0	loss=0.1257	train_acc=0.9375	val_acc=0.9373
step=76	epoch=0	loss=0.0471	train_acc=1.0000	val_acc=0.9391
step=77	epoch=0	loss=0.1834	train_acc=0.9688	val_acc=0.9437
step=78	epoch=0	loss=0.0925	train_acc=0.9375	val_acc=0.9382
step=79	epoch=0	loss=0.1778	train_acc=0.9375	val_acc=0.9382
step=80	epoch=0	loss=0.2088	train_acc=0.9062	val_acc=0.9428
step=81	epoch=0	loss=0.4056	train_acc=0.8438	val_acc=0.9419
step=82	epoch=0	loss=0.0921	train_acc=0.9688	val_acc=0.9437
step=83	epoch=0	loss=0.0680	train_acc=0.9688	val_acc=0.9401
step=84	epoch=0	loss=0.1051	train_acc=0.9688	val_acc=0.9437
step=85	epoch=0	loss=0.1544	train_acc=0.8750	val_acc=0.9373
step=86	epoch=0	loss=0.1017	train_acc=0.9375	val_acc=0.9255
step=87	epoch=0	loss=0.1615	train_acc=0.9375	val_acc=0.9219
step=88	epoch=0	loss=0.5518	train_acc=0.8125	val_acc=0.9310
step=89	epoch=0	loss=0.2647	train_acc=0.9062	val_acc=0.9437
step=90	epoch=0	loss=0.3509	train_acc=0.8750	val_acc=0.9464
step=91	epoch=0	loss=0.0361	train_acc=1.0000	val_acc=0.9455
step=92	epoch=0	loss=0.1036	train_acc=0.9688	val_acc=0.9428
step=93	epoch=0	loss=0.0500	train_acc=1.0000	val_acc=0.9382
step=94	epoch=0	loss=0.1910	train_acc=0.9688	val_acc=0.9282
step=95	epoch=0	loss=0.1305	train_acc=0.9688	val_acc=0.9328
step=96	epoch=0	loss=0.0581	train_acc=1.0000	val_acc=0.9355
step=97	epoch=0	loss=0.1289	train_acc=0.9375	val_acc=0.9410
step=98	epoch=0	loss=0.1857	train_acc=0.9062	val_acc=0.9437
step=99	epoch=0	loss=0.1920	train_acc=0.9062	val_acc=0.9473
step=100	epoch=0	loss=0.1997	train_acc=0.8750	val_acc=0.9500
step=101	epoch=0	loss=0.1166	train_acc=0.9375	val_acc=0.9419
step=102	epoch=0	loss=0.1673	train_acc=0.9375	val_acc=0.9391
step=103	epoch=0	loss=0.2068	train_acc=0.9062	val_acc=0.9419
step=104	epoch=0	loss=0.0864	train_acc=0.9688	val_acc=0.9410
step=105	epoch=0	loss=0.0819	train_acc=0.9688	val_acc=0.9410
step=106	epoch=0	loss=0.0330	train_acc=1.0000	val_acc=0.9437
step=107	epoch=0	loss=0.1111	train_acc=0.9688	val_acc=0.9428
step=108	epoch=0	loss=0.2154	train_acc=0.9062	val_acc=0.9455
step=109	epoch=0	loss=0.2567	train_acc=0.8750	val_acc=0.9491
step=110	epoch=0	loss=0.0526	train_acc=0.9688	val_acc=0.9473
step=111	epoch=0	loss=0.1300	train_acc=0.9375	val_acc=0.9510
step=112	epoch=0	loss=0.1592	train_acc=0.9375	val_acc=0.9491
step=113	epoch=0	loss=0.1095	train_acc=0.9688	val_acc=0.9510
step=114	epoch=0	loss=0.1512	train_acc=0.9375	val_acc=0.9528
step=115	epoch=0	loss=0.1289	train_acc=0.9688	val_acc=0.9546
step=116	epoch=0	loss=0.0631	train_acc=0.9688	val_acc=0.9528
step=117	epoch=0	loss=0.0968	train_acc=0.9688	val_acc=0.9528
step=118	epoch=0	loss=0.0238	train_acc=1.0000	val_acc=0.9519
step=119	epoch=0	loss=0.0554	train_acc=0.9688	val_acc=0.9555
step=120	epoch=0	loss=0.0321	train_acc=1.0000	val_acc=0.9537
